0,1,2,3,4,5,6,7,8,9
Abdal-Aziz,UCELfzGPtH4b3eMvOO5yOcBg,1.0,184,4,0,False,2014-12-08,,2019-03-01
abdelilah issou,UCsnq9AEOa1-v0tZ34UcJfEg,3620.0,1045627,114,0,True,2011-03-08,,2021-01-19
abdelkarim honing,UCBuQ1v3PhSYQplkQ6-9eHYw,431.0,271581,37,3,False,2010-07-19,2019-11-20,2019-03-01
Abdi Channel,UCuGd5EiR573f6yekkH7eR2A,4049.0,798519,137,1,False,2017-08-28,,2019-03-01
Abdi Rashid,UCej0ZgMPj9wA1hmmUTmJRxw,6.0,3778,4,0,False,2014-10-15,,2019-03-01
Abdiwali Mohamed,UCB4hu0KqKqlJGHJvPtpLRFQ,3990.0,950932,78,0,False,2006-10-04,,2019-03-01
Abdul,UCeV5V59cqVXboGtlv5pUV8g,13.0,2153,20,0,False,2012-04-25,,2019-03-01
abdul980,UCjqxrwhnCQAJZggcsnOazAg,46.0,57746,6,0,False,2006-10-19,,2019-03-01
Abdul Al-Haqq,UCB7psGBvNoLKVZ0143ACXdQ,312.0,348513,82,0,False,2012-12-03,,2019-03-01
Abdul Hakym Speakers Corner,UCQWMsOftqvW2RHpNv5kS5oA,496.0,66293,81,1,False,2013-03-29,,2019-03-01
Abdulkareem Al-Kishawy,UCSa5UTbWwBc17jcRYWOuMdQ,43.0,86536,14,0,False,2006-11-15,,2019-03-01
Abdullah Adam,UCq_HFHiEgeWPgJXnstZ49MA,2.0,456,1,0,False,2014-01-01,,2019-03-01
abdullah bende,UCWlT5n4_gDT6KjdtW30EjRw,166.0,152167,102,2,True,2012-06-14,,2019-03-01
AbdulMatinTV,UCIAAW1eNsEugxVGIFCssGkQ,13.0,2559,7,0,False,2014-05-08,,2019-03-01
abdul rehman ahmad,UCUI1w0w2wb1ZOD2C5q2Lkeg,75.0,149868,41,0,False,2009-09-08,,2019-03-01
Abdur Rahman,UCOSaXDns34Ce6kO7w_OnRDg,0.0,267401,52,0,False,2008-08-30,,2019-03-01
Abdur Rahman,UC6I5UtAeTjhZozx1XWs--Dg,9.0,1462,21,0,False,2017-09-16,,2019-03-01
Ábel Bódi,UCpsykArTgmtz9lzTGZ6EluQ,5210.0,542596,133,0,True,2017-10-31,,2020-11-26
Abendland Deutschland,UCuw_x_R3okm_fhuDuQ6ZO9w,1090.0,92074,157,156,False,2018-03-06,2020-10-31,2020-01-02
Abgeordnetencheck,UCwBUcnRMJJwfhuhHAUgMMFQ,480.0,652810,22,0,True,2011-08-31,,2020-11-11
A Big Secret,UCbzAIrBhs8UqeSebBbMMRhQ,4191.0,371304,12,2,True,2007-06-04,,2019-03-01
abisal0,UC2jPYWQd37P5JhixmfHqc4g,470.0,1625935,48,0,True,2007-04-04,,2020-11-23
Able Child,UCP19sFKSeCpAmj_RmuRkJgg,25.0,10677,2,0,True,2008-09-19,,2020-09-26
Abortion. It's a Black and White Issue.,UCHbvFu10_2YyYPOhPD-azXQ,49.0,211,8,0,True,2019-04-24,,2021-02-21
Abraham Paz,UCimPBXdQbieVMjgWmYHZNIw,132.0,85973,58,0,False,2014-03-22,,2020-02-19
abraheem lewis,UCmczy66-crLuWul7wlHRzWQ,0.0,58,8,0,False,2011-09-09,,2019-03-01
Abrupt Earth Changes,UCthsljjZ844RZ61df7gWPuQ,359.0,13348,33,0,True,2013-06-13,,2021-03-15
ABSIT INVIDIA,UCjQ7qiW5s8Q8lg1gxIAbRzQ,966.0,40365,82,0,False,2016-09-06,,2019-03-01
Abu Ali,UCYUhNfwGOTtSXj4j35BKONg,4.0,2585,2,1,False,2018-08-02,2020-11-15,2019-03-01
Abu Ammaar,UCWT7y6jJ5tjhMN439uKpnOQ,158.0,9248,45,4,True,2015-10-05,,2019-03-01
Abu Anonym,UCX7OFX-RLN1gHIagT8YMKEA,21.0,3501,10,0,False,2018-03-13,,2019-03-01
Abu Azzam,UCdHRWeRdRWHoblEFK0KsctQ,404.0,320972,24,0,False,2009-10-19,,2019-03-01
Abu Bakr,UC9tzd9IJpI8TZjcIQY62TLA,1036.0,153483,16,2,False,2012-04-05,,2019-03-01
Abu Bakr Al Swedi,UC7x9T-tMrvmP9q7pGixdF8Q,172.0,8974,40,1,False,2018-08-25,,2019-03-01
AbuBara01,UCzSXcfcaFbPhzObhf9ifYDw,18.0,1585,6,0,False,2011-09-19,,2019-03-01
Abu H,UCwsYwssl-OX2rwpASQaIQRA,391.0,63821,29,7,False,2011-09-16,2020-05-01,2019-03-01
Abu Haleema Conditions Of Shahada Series,UCrSZ25lmy2Lg8DkoFBvndnA,21.0,2634,7,7,False,2015-10-02,2020-12-09,2019-03-01
Abu Haleema Media,UCPw-ZBqLUaWMIcKxy1Cz2SA,1738.0,615332,149,149,False,2015-03-29,2020-07-14,2019-03-01
Abu Haleema The 4K Years,UCDU0dORkssHDnYVOYkORo6g,103.0,14243,2,0,False,2015-11-28,,2019-03-01
Abu Haleema Urdu,UCeEDd0c38lGyQUUQjE94VAw,39.0,3556,14,13,False,2016-03-13,2020-12-09,2019-03-01
abu muaad Ibn Amar,UCdZM3D5FOV_mpeFq0oO6slQ,13.0,866,3,0,False,2018-01-16,,2019-03-01
Abu Muhammad,UC84AWYcY6xRFIpYaOYJK8FQ,4.0,564,8,0,False,2012-10-16,,2019-03-01
Abu Mwalim,UCccY2L9YXPQJLCcKlwQ2PWQ,354.0,77744,8,0,False,2010-11-13,,2019-03-01
abuqital,UCILtIX9EA2DgcKW8E1NSGww,42.0,5538,6,0,False,2007-02-28,,2019-03-01
Abu Sayfillaah,UCgcn0LHQwqVweRjLNhG3d6g,336.0,22387,64,0,False,2014-12-24,,2019-03-01
Abu Yahya,UCcT7MwHL9RTLXy95RokkHTg,7.0,1905,2,0,False,2014-02-28,,2019-03-01
Abu Zaid,UCh-96kjXnqIRidUrYxOfyTQ,25.0,1075,5,0,False,2007-01-03,,2019-03-01
abxchange,UCHkQLrK44ZVHWdOqPv6NF7Q,,36551,2,0,True,2006-04-15,,2020-11-11
Academia Christiana,UCbzA-mk0B-ohhEtedfXKcbA,5550.0,479310,81,0,True,2013-05-06,,2020-11-05
Academic Freedom Conference - Are there Limits to Inquiry?,UC0It_Q2qh6JQMLwKw1nB8Bg,1618.0,398087,154,13,False,2013-12-11,2019-06-05,2019-03-01
academygirls111,UCTFIfWKiAOw_d7IqLjbkaDQ,133.0,8564,4,0,True,2010-11-02,,2021-05-12
Academy of Ideas,UCiRiQGCHGjDLT9FQXFW0I3A,1010000.0,64918705,163,0,True,2012-05-22,,2021-05-01
A Call For An Uprising,UCv_-yc055n1fxFfTYpdaKBg,521000.0,89910861,1138,0,True,2016-02-21,,2020-05-22
A Call For An Uprising,UCp5x5kxCgg_A220jNIsLyfA,320853.0,52080183,1330,8,True,2015-02-20,,2019-03-01
A CALL FOR AN UPRISING 3,UCeUOId5AD19RhxhmqV8G6wQ,24600.0,71045,11,11,False,2018-03-01,2020-11-24,2020-06-06
Acca Larenzia,UCQzPeR4C5SlRYYnGd_lHj0w,345.0,30697,3,0,False,2019-01-11,,2021-01-08
ACE News,UCBklFloGb5rd7dAL126x0uA,322.0,132948,58,0,True,2015-11-19,,2020-11-29
A Chicken,UCVqPRrAZsXRbNgQThmsZoXQ,32.0,27902,8,1,False,2014-10-29,,2019-03-01
Achilleus Pelides,UC_YlOkyQWsEDr3oAzW7HfZA,1297.0,427045,55,1,False,2016-06-05,2020-01-26,2019-03-01
A Christian Response,UC-C0h_bMeCx4taOhA1BGd5Q,964.0,70112,72,0,False,2009-09-19,,2019-03-01
achse:ostwest,UCWOVvQzsJj5O-CxDAeon-Vw,112000.0,8254349,111,0,True,2016-12-01,,2020-11-07
ACL – Australian Christian Lobby,UCUkXAbO0Lms1wkx8k0RN2uA,11400.0,1776427,582,0,True,2015-09-16,,2019-11-09
A.C. Lorien,UCEqS1bzWjxWxIy_O937yMXg,2194.0,1284904,280,2,True,2011-01-19,,2019-03-01
aConcernedHuman,UCnrKkTdBFs2UipU2-Ikjsbg,0.0,13148740,29,0,True,2010-06-03,,2019-12-20
Acquisition of POWER,UCeAyQxpBaH0NkFYZfy_tDkg,12.0,613,51,2,True,2020-03-07,,2020-08-10
Acrylique 732,UCEpAkIuNnKIYW5ZOIiEodZw,51.0,2957,3,0,True,2018-08-13,,2021-03-27
ACTDammit,UCgm2P4uoUI_RL-htEO8MYBQ,7.0,367,1,1,False,2009-01-07,,2019-03-01
ActionFitnessCT,UCT7fu3wjtMD_twTuPsgAV5Q,823.0,166884,353,89,True,2011-09-12,,2020-08-16
Active Archive's,UCD0W8WDoIHLaPjOvY6hcFOw,7910.0,122399,112,104,False,2016-12-28,2021-05-12,2020-10-26
Active Patriot UK,UCwfIIN1nRLzA-uxqasvRWRQ,41300.0,373800,275,269,True,2018-01-26,2021-05-11,2020-11-28
Active Self Protection,UCsE_m2z1NrvF2ImeNWh84mw,1560000.0,669964400,2098,0,True,2013-04-09,,2019-12-30
Activist-News,UC4SYaiQKIGjwzzrK-rH4_XA,22945.0,994083,123,98,False,2013-01-09,2021-06-25,2021-01-03
Acts17Apologetics,UCy5H0uunC2qMk0iOF4SHKUw,400000.0,91406534,1465,1,True,2008-08-06,,2019-11-23
Actual Justice Warrior,UCzzLIhDbFYU46T4VFBz_m_g,88300.0,14285004,500,0,True,2016-08-15,,2021-01-06
ACU2020,UCYbKImrIHuDrA-J2IavZuaQ,2240.0,68582,39,0,True,2020-07-10,,2020-08-13
ACuploads2,UC64RjBV4dnUP4DHhp9wWt9Q,64.0,490949,6,6,False,2009-02-05,2019-06-05,2019-03-01
Adam,UCOEslqg-Z25RfZqyDAFprEQ,433.0,18393,97,53,False,2017-12-08,2020-12-13,2020-06-27
AdamAndEveNotSteve,UC-jt_5654J3mjAHdjQxACQQ,3000.0,3236261,620,146,True,2011-11-02,,2021-06-04
Adam Calhoun,UC8Yx90YfnpSTXApA9_rYX-g,566751.0,117851585,218,2,True,2013-08-03,,2019-03-01
Adamcast IRL,UCCNLO0GPt_8zB3hcbFEcDog,175000.0,2499294,609,1,True,2020-05-26,,2021-02-27
Ádám Csillag,UCZvstyxljG6uMkThODaTwMA,2430.0,1948623,1063,1,True,2007-09-13,,2019-11-28
Adam Novus,UCBjciGr_OAEJ-ln_Wb0JPgg,11.0,2324,10,0,False,2011-07-23,,2020-05-12
Adam Smith,UCiEuG_IfI2mrIZtBXTmjWoA,5413.0,2952695,163,0,True,2014-10-25,,2019-03-01
Adapt 2030,UC-5dIHmtQzHIdNCs7-bEdCA,87342.0,19648146,1595,0,True,2012-04-01,,2019-03-01
Addameer Association,UCSMf1HOCCEGPWzXv7eOfcNQ,490.0,113627,68,0,False,2009-05-12,,2019-03-01
adDeenanNaseeha,UCfSYpRPkVrKcWGKIS0TK8PQ,0.0,556560,32,0,False,2010-09-07,,2019-03-01
Addy Adds,UCoLVMCQwO9KtgFTrTUhwUxQ,4330.0,396416,500,110,True,2019-09-01,2021-01-02,2020-10-26
adi heimler,UCCdcsUaQtTp-x25G4XD8EpA,24.0,3871,3,0,True,2018-06-09,,2020-06-01
Adi Stone,UCuvbXcoqdVJnO2etsjQ1bQw,,20923,302,0,True,2016-12-17,,2020-11-29
ADL Geelong,UCnHyqZ1-6IUL-ZPrE5T86hg,6.0,1156,1,0,False,2014-09-12,,2020-11-23
Admiral Ackbar,UCgW5QcW2ZhVO1m9qBO5Kxug,721.0,684315,2,0,True,2019-05-08,,2021-01-23
AdmiralConservative,UCmeIPFLvwqcE2YiBlEnu79w,1570.0,646742,443,0,True,2010-06-06,,2021-06-04
Ad-mi-rall Vanderhell,UChqW4BHUI2OjPIXWw74zN8g,1009.0,1540909,42,0,False,2009-04-03,,2019-03-01
Adolf Dripler,UCkDvaEyeMSWwyv_6Q7-KWEQ,1.0,29,3,1,False,2019-01-08,2020-07-05,2019-10-24
